task_id,sprint,week,phase,track,module,task_name,description,assigned_to,complexity,priority,mandays,deliverable
BE-401,Sprint 2 (W3-4),Week 4,Phase 4: Live Classes,Backend,WebSockets,Live Class Signaling & Spot Quiz Redis Collector,"WebSocket gateway for classroom events (join/leave/chat), attendance heartbeat tracker, and sub-second in-memory spot quiz collector",1x Backend Engineer,High,P1 (High),4,Classroom WebSocket Gateway & Spot Quiz Engine
QA-102,Sprint 2 (W3-4),Week 3-4,Phase 3 & 4 QA,QA & Testing,Exam & Class Testing,"Exam Creation Flow, PDF Parsing & Live WS Testing","Validate 7-step wizard validations, marks matching, PDF uploads, recipient assignments, WebRTC signaling & spot quiz broadcast latency",1x QA Engineer,High,P0 (Blocker),10,Exam Wizard & Live Class QA Verification Report
FE-501,Sprint 3 (W5-6),Week 5,Phase 5: Student Exam,Frontend,Pre-Exam Check,Student Pre-Exam System Readiness Check Wizard,"4-Step Pre-check: Cam & Mic check, AI Face identification, Network ping/bandwidth test, Fullscreen & exam rules acknowledgement",1x Frontend Engineer,High,P0 (Blocker),3,System Readiness Check Wizard View
BE-501,Sprint 3 (W5-6),Week 5,Phase 5: Student Exam,Backend,Session Security,Student Session Init & Encrypted Token Generator,"Time window & eligibility verification, device readiness logging, reference selfie storage, and tamper-proof session token generator",1x Backend Engineer,Medium,P0 (Blocker),2,Student Session Init & Token Service
FE-502,Sprint 3 (W5-6),Week 5-6,Phase 5: Student Exam,Frontend,Exam Interface,Secure Exam Lockdown Workspace & Palette,"Locked-down Fullscreen UI, Tab switch detector, accommodations countdown timer, Question Palette (Answered/Review/Unanswered), auto-save sync",1x Frontend Engineer,High,P0 (Blocker),4,Locked-Down Exam Interface & Question Palette
BE-502,Sprint 3 (W5-6),Week 5-6,Phase 5: Student Exam,Backend,Auto-Save Engine,Resilient Auto-Save Pipeline & Auto-Submit Daemon,"Redis keystroke buffer, batch flush to Postgres every 10s, S3 attachment uploads, server-side timer daemon to auto-close expired exams",1x Backend Engineer,High,P0 (Blocker),4,Fault-Tolerant Auto-Save & Auto-Close Daemon
FE-601,Sprint 3 (W5-6),Week 6,Phase 6: Proctoring,Frontend,Live Proctoring,Invigilator Live Monitoring Grid & Alert Drawer,"Tile grid of student webcams, risk score color badges (0-100), quick actions (warn, pause, terminate), malpractice violation timeline",1x Frontend Engineer,High,P0 (Blocker),3,Invigilator Monitoring Grid & Alerts UI
BE-601,Sprint 3 (W5-6),Week 6,Phase 6: Proctoring,Backend,Proctoring Bus,Telemetry Ingestion Bus & Dynamic Risk Scoring Engine,"WebSockets (/proctor-feed), telemetry event parser (tab switch, face lost, multi-face), 0-100 risk scoring algorithm, S3 snapshot vault",1x Backend Engineer,High,P0 (Blocker),4,Real-time Telemetry & Risk Scoring Service
QA-103,Sprint 3 (W5-6),Week 5-6,Phase 5 & 6 QA,QA & Testing,Security & Exam Testing,"Exam Lockdown, Auto-Save Stress Test & Proctoring Simulation","Simulate network dropouts during exam, verify offline answer recovery, test tab-switch traps, simulate 50+ proctor telemetry events simultaneously",1x QA Engineer,High,P0 (Blocker),10,Resilience & Security Test Sign-off Report
FE-701,Sprint 4 (W7-8),Week 7,Phase 7: Evaluation,Frontend,Grading Workspace,Teacher Evaluation Dashboard & PDF Annotation Canvas,"Submission queue, blind grading mode (mask PII), side-by-side rubric grading, and interactive PDF digital pen annotation tool",1x Frontend Engineer,High,P0 (Blocker),4,Evaluation Dashboard & PDF Grading Canvas
BE-701,Sprint 4 (W7-8),Week 7,Phase 7: Evaluation,Backend,Auto & Manual Grading,Auto-Grading Worker & Vector Annotation Storage APIs,"Auto-eval worker for MCQ & One-Word, manual rubric grading APIs, blind evaluation PII masking, vector JSON pen annotation storage",1x Backend Engineer,High,P0 (Blocker),4,Auto-Grading & Manual Evaluation APIs
FE-702,Sprint 4 (W7-8),Week 7-8,Phase 7: Result Approval,Frontend,Approval Workflow,4-Tier Result Approval & Moderation UI,"Progress steps (Eval Done -> Teacher Review -> Coordinator Sign-Off -> Published), Grace marks / formula runner, Official Publish action",1x Frontend Engineer,Medium,P0 (Blocker),2,4-Tier Result Approval & Moderation Views
BE-702,Sprint 4 (W7-8),Week 7-8,Phase 7: Result Approval,Backend,Approval Engine,4-Tier Approval State Machine & Moderation Processor,"State machine transitions, grace mark processor, grade computation, coordinator signature verification, and immutable sign-off logs",1x Backend Engineer,High,P0 (Blocker),3,Result Approval State Machine Engine
FE-801,Sprint 4 (W7-8),Week 8,Phase 8: Reports & Portals,Frontend,Scorecards & Reports,Student/Parent Scorecards & ERP Sync Status Dashboard,"Student/Parent report cards, topic mastery radar charts, question review modal, and ERP Gradebook Sync Status view with manual retry triggers",1x Frontend Engineer,Medium,P1 (High),4,Scorecard Portals & ERP Sync Status Dashboard
BE-801,Sprint 4 (W7-8),Week 8,Phase 8: Reports & Portals,Backend,Reports & ERP,"Batch PDF Generator, ERP Gradebook Sync & LTI 1.3 AGS","PDF report card generator (Puppeteer/PDFKit), multi-channel notification dispatcher, Bi-directional School ERP Sync webhook adapter, and LTI 1.3 Assignment & Grade Service stub",1x Backend Engineer,High,P1 (High),3,"PDF Generator, ERP Sync Adapter & LTI 1.3 AGS"
QA-104,Sprint 4 (W7-8),Week 7-8,Phase 7 & 8 QA,QA & Testing,Regression & Launch,"Full End-to-End Regression, Security Pentest & UAT Sign-Off","Full end-to-end regression of entire exam cycle, OWASP security checks, load testing evaluation submission spikes, and User Acceptance Testing sign-off",1x QA Engineer,High,P0 (Blocker),10,Final QA Production Release Sign-Off
